id,mappings,description
Allele,,
Assembly,,
AuthorReference,,
Chromosome,,The ID of the landmark used to establish the coordinate system for the current feature.
CrossReference,,
Gene,,
GenomicEntity,,
InformationContentEntity,,a piece of information that typically describes some topic of discourse or is used as support. Precedence of identifiers for references is as follows: PMID if available; DOI if not; actual alternate CURIE otherwise.
Person,,
Reference,,
Resource,,
Species,,
Transcript,,
Variant,,Variant class
VariantGeneConsequence,,
VariantGenomicLocation,,
VariantTranscriptConsequence,,Class for transcript-level VEP results

