id,mappings,description
allele,,
annotation,,Biolink Model root class for entity annotations.
assembly,,
author_reference,,
chromosome,,The ID of the landmark used to establish the coordinate system for the current feature.
gene,,"A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene locus may include regulatory regions, transcribed regions and/or other functional sequence regions."
genomic_entity,,
information_content_entity,,a piece of information that typically describes some topic of discourse or is used as support. Precedence of identifiers for references is as follows: PMID if available; DOI if not; actual alternate CURIE otherwise.
reference,,
resource,,
species,,
transcript,,

