id,mappings,description
allele,,
assembly,,
author_reference,,
chromosome,,The ID of the landmark used to establish the coordinate system for the current feature.
gene,,
genomic_entity,,
information_content_entity,,a piece of information that typically describes some topic of discourse or is used as support. Precedence of identifiers for references is as follows: PMID if available; DOI if not; actual alternate CURIE otherwise.
reference,,
resource,,
species,,
transcript,,
variant,,Variant class
variant_genomic_location,,

